Date,Model,Region,Country,Dealer,Units_Sold,Price_USD,Revenue,Customer_Type,Segment,Fuel_Type,Color
2023-04-13,AMG G 63,Asia,Singapore,NY Motors,5,214067,1070335,Returning,SUV,Petrol,Silver
2024-04-03,AMG G 63,Asia,Japan,London Cars,3,189864,569592,Returning,SUV,Petrol,White
2023-07-11,AMG G 63,Asia,India,LA Motors,2,211039,422078,Returning,SUV,Petrol,Silver
2023-02-28,AMG GT 63,Europe,Italy,LA Motors,4,175189,700756,Returning,Sedan,Petrol,Silver
2024-07-20,AMG G 63,Asia,Singapore,Tokyo Motors,3,217572,652716,New,SUV,Petrol,Red
2024-08-23,AMG G 63,Europe,UK,Rome Motors,1,189670,189670,Returning,SUV,Petrol,Red
2024-03-30,AMG G 63,Asia,Japan,Dubai Luxury,1,199868,199868,Returning,SUV,Petrol,White
2024-04-21,AMG GT 63,Europe,UK,LA Motors,2,176225,352450,Returning,Sedan,Petrol,Red
2024-12-02,AMG G 63,Asia,Japan,Chicago Auto,2,211667,423334,Returning,SUV,Petrol,Red
2023-07-07,AMG G 63,Asia,India,Chicago Auto,5,192131,960655,New,SUV,Petrol,Black
2024-10-09,AMG G 63,USA,USA,NY Motors,3,218688,656064,New,SUV,Petrol,Silver
2024-05-04,AMG GT 63,Europe,Germany,LA Motors,1,184438,184438,Returning,Sedan,Petrol,Blue
2023-04-09,AMG G 63,Europe,France,Dubai Luxury,1,205082,205082,New,SUV,Petrol,Black
2023-01-05,SLS AMG,USA,USA,Houston Wheels,3,261182,783546,New,Supercar,Petrol,Red
2024-04-05,AMG GT 63,USA,USA,Hamburg Auto,1,173316,173316,Returning,Sedan,Petrol,Blue
2024-02-11,AMG GT 63,Asia,Singapore,NY Motors,5,170236,851180,Returning,Sedan,Petrol,Silver
2023-03-27,AMG G 63,Europe,UK,Chicago Auto,1,193430,193430,Returning,SUV,Petrol,Red
2023-12-06,SLS AMG,Europe,France,Rome Motors,4,252527,1010108,Returning,Supercar,Petrol,Black
2023-10-10,SLS AMG,Asia,Japan,Chicago Auto,1,249848,249848,Returning,Supercar,Petrol,Black
2023-11-14,CLS 63,Asia,Singapore,Rome Motors,4,90138,360552,New,Sedan,Petrol,Black
2024-11-22,CLS 63,Europe,Germany,Rome Motors,4,90190,360760,New,Sedan,Petrol,Black
2024-09-04,CLS 63,Asia,Singapore,Delhi Motors,2,95050,190100,Returning,Sedan,Petrol,Black
2024-01-20,AMG GT 63,Europe,UK,Tokyo Motors,4,178120,712480,Returning,Sedan,Petrol,Red
2024-03-14,AMG GT 63,USA,USA,Delhi Motors,5,184763,923815,Returning,Sedan,Petrol,Black
2023-07-20,AMG G 63,USA,USA,Berlin Auto,5,225051,1125255,Returning,SUV,Petrol,Silver
2023-12-12,AMG GT 63,USA,USA,Dubai Luxury,4,185226,740904,Returning,Sedan,Hybrid,White
2024-10-02,AMG GT 63,Asia,India,Mumbai Wheels,2,171285,342570,Returning,Sedan,Petrol,Black
2024-07-25,CLS 63,Europe,Germany,Houston Wheels,4,96107,384428,Returning,Sedan,Petrol,Black
2023-08-21,AMG GT 63,USA,USA,Dubai Luxury,4,193935,775740,Returning,Sedan,Hybrid,Red
2024-08-09,CLS 63,Europe,Italy,Singapore Auto,3,92573,277719,New,Sedan,Petrol,Blue
2023-12-04,SLS AMG,Europe,France,Chicago Auto,1,243148,243148,Returning,Supercar,Petrol,Blue
2024-05-18,AMG G 63,USA,USA,Dubai Luxury,1,201938,201938,Returning,SUV,Petrol,Silver
2024-04-14,AMG GT 63,Europe,UK,Houston Wheels,5,179522,897610,Returning,Sedan,Petrol,White
2023-10-04,SLS AMG,Asia,Japan,Delhi Motors,5,245969,1229845,Returning,Supercar,Petrol,Silver
2023-07-11,CLS 63,Asia,Japan,LA Motors,5,90811,454055,Returning,Sedan,Petrol,Black
2023-02-06,AMG G 63,Asia,India,Houston Wheels,5,213036,1065180,Returning,SUV,Hybrid,Blue
2023-06-10,AMG G 63,USA,USA,Mumbai Wheels,1,205577,205577,Returning,SUV,Petrol,White
2023-10-15,AMG GT 63,Europe,France,Mumbai Wheels,3,172630,517890,Returning,Sedan,Petrol,Black
2024-01-28,AMG GT 63,Europe,Italy,Hamburg Auto,5,172674,863370,Returning,Sedan,Petrol,Black
2024-02-12,CLS 63,Europe,France,Paris Auto,4,100667,402668,New,Sedan,Petrol,Red
2024-04-15,AMG GT 63,Europe,UK,Hamburg Auto,3,178761,536283,New,Sedan,Hybrid,White
2024-07-23,SLS AMG,Asia,Japan,Rome Motors,3,240607,721821,New,Supercar,Petrol,Red
2024-09-11,CLS 63,USA,USA,Singapore Auto,5,89193,445965,Returning,Sedan,Petrol,Red
2024-10-17,CLS 63,Europe,Italy,Rome Motors,3,100608,301824,New,Sedan,Petrol,White
2023-12-12,CLS 63,Europe,Germany,Houston Wheels,1,98581,98581,New,Sedan,Petrol,Black
2023-04-06,SLS AMG,Europe,Italy,Paris Auto,5,248556,1242780,Returning,Supercar,Petrol,Blue
2023-09-04,AMG GT 63,Europe,Italy,Dubai Luxury,5,166325,831625,New,Sedan,Petrol,Blue
2023-02-16,CLS 63,Europe,UK,Houston Wheels,4,88831,355324,Returning,Sedan,Petrol,Blue
2024-07-04,AMG G 63,Asia,UAE,Houston Wheels,5,205737,1028685,Returning,SUV,Hybrid,Red
2023-06-29,AMG GT 63,Europe,UK,Dubai Luxury,2,180037,360074,Returning,Sedan,Petrol,Red
2023-01-16,AMG G 63,USA,USA,Mumbai Wheels,1,225422,225422,Returning,SUV,Hybrid,Red
2024-11-20,AMG GT 63,Asia,India,Chicago Auto,3,191543,574629,Returning,Sedan,Petrol,Black
2023-06-17,SLS AMG,USA,USA,LA Motors,5,237606,1188030,New,Supercar,Petrol,Blue
2024-05-13,SLS AMG,USA,USA,Hamburg Auto,1,268097,268097,New,Supercar,Petrol,White
2024-02-22,AMG GT 63,Asia,Singapore,Singapore Auto,2,187082,374164,New,Sedan,Hybrid,Red
2024-12-29,CLS 63,Asia,India,Singapore Auto,2,93545,187090,Returning,Sedan,Petrol,Black
2023-04-09,AMG G 63,Europe,Germany,Hamburg Auto,5,199021,995105,New,SUV,Petrol,Black
2023-09-30,CLS 63,Europe,Italy,Paris Auto,5,102514,512570,New,Sedan,Petrol,Blue
2023-08-21,AMG GT 63,Asia,Singapore,LA Motors,4,182643,730572,New,Sedan,Petrol,Blue
2023-04-09,AMG G 63,Asia,Japan,NY Motors,5,220599,1102995,New,SUV,Petrol,Blue
2024-11-23,SLS AMG,Europe,France,Houston Wheels,2,256959,513918,New,Supercar,Petrol,Silver
2024-10-19,AMG GT 63,Asia,UAE,Rome Motors,4,193207,772828,Returning,Sedan,Petrol,Blue
2023-06-17,SLS AMG,Asia,UAE,NY Motors,2,241623,483246,New,Supercar,Petrol,Silver
2024-10-09,AMG G 63,Asia,India,Berlin Auto,4,198940,795760,New,SUV,Hybrid,Red
2023-03-11,AMG G 63,USA,USA,Dubai Luxury,5,204875,1024375,New,SUV,Petrol,White
2024-06-14,AMG GT 63,Europe,France,Chicago Auto,5,176587,882935,Returning,Sedan,Petrol,Red
2024-03-31,CLS 63,USA,USA,Paris Auto,1,98439,98439,Returning,Sedan,Hybrid,Red
2024-01-04,CLS 63,Asia,UAE,Tokyo Motors,2,85730,171460,Returning,Sedan,Petrol,Blue
2023-03-21,SLS AMG,Asia,Singapore,LA Motors,5,247155,1235775,New,Supercar,Hybrid,White
2023-02-16,CLS 63,Asia,UAE,Delhi Motors,5,98741,493705,New,Sedan,Hybrid,Black
2023-01-12,SLS AMG,Europe,Italy,London Cars,4,251454,1005816,Returning,Supercar,Petrol,White
2024-10-09,SLS AMG,Europe,Italy,LA Motors,5,284668,1423340,Returning,Supercar,Petrol,Black
